id,title,stockCode,memberType,kfifUrl
5900,1000 YATIRIMLAR HOLDİNG A.Ş.,BINHO,IGS,https://www.kap.org.tr/tr/kfif/8acae2c48b2fa25a018bba0a5034596d
2501,24 GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş.,YGP,"FK, PYS",
1564,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,AVOD,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140f2ed72014107916fed023d
77,A1 BAĞIMSIZ DENETİM A.Ş.,,BDK,
1303,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,"A1CAP, ACP","IGS, YK",
1303,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,"A1CAP, ACP","IGS, YK",https://www.kap.org.tr/tr/kfif/4028e4a1416e696301416f37201c5f2e
222,AAC BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.,,BDK,
1254,ACAR MENKUL DEĞERLER A.Ş.,ACA,YK,
1626,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,ACSEL,IGS,https://www.kap.org.tr/tr/kfif/4028e4a2420327a4014209c55161144d
832,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,ADEL,IGS,https://www.kap.org.tr/tr/kfif/4028e4a240e8d16e0140e8f159dc0033
1560,ADESE GAYRİMENKUL YATIRIM A.Ş.,ADESE,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140f2ed720141164431b905a5
5867,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ADGYO,IGS,https://www.kap.org.tr/tr/kfif/8acae2c586d22c53018a737800f804ae
833,AFYON ÇİMENTO SANAYİ T.A.Ş.,AFYON,IGS,https://www.kap.org.tr/tr/kfif/4028e4a24158e42401415af83d607fd3
1131,AG ANADOLU GRUBU HOLDİNG A.Ş.,AGHOL,IGS,https://www.kap.org.tr/tr/kfif/4028e4a240f2ef4c014101b18dc000f7
234,AG YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ  DENETİM A.Ş.,,BDK,
2370,AGESA HAYAT VE EMEKLİLİK A.Ş.,AGESA,"FK, IGS",https://www.kap.org.tr/tr/kfif/4028e4a140e95bea0140edeb7a54015d
2370,AGESA HAYAT VE EMEKLİLİK A.Ş.,AGESA,"FK, IGS",
5899,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,AGROT,IGS,https://www.kap.org.tr/tr/kfif/8acae2c48b2fa259018bb9e449415e84
6014,AHES GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,AHSGY,IGS,https://www.kap.org.tr/tr/kfif/8acae2c59145e00a01915a44a01d1179
3064,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,AHGAZ,IGS,https://www.kap.org.tr/tr/kfif/4028e4a14203278a0142095715f914d0
4315,AHLATCI YATIRIM MENKUL DEĞERLER A.Ş.,AYX,YK,
2085,AK FAKTORİNG A.Ş.,AKSFA,IGS,
2215,AK FİNANSAL KİRALAMA A.Ş.,AKFK,IGS,
2283,AK PORTFÖY YÖNETİMİ A.Ş.,AKP,"FK, PYS",
2485,AK YATIRIM MENKUL DEĞERLER A.Ş.,"AKM, AKMEN","IGS, YK",
80,AKADEMİK BAĞIMSIZ DENETİM A.Ş.,,BDK,
2413,AKBANK T.A.Ş.,AKBNK,"IGS, YK",
2413,AKBANK T.A.Ş.,AKBNK,"IGS, YK",https://www.kap.org.tr/tr/kfif/4028e4a240e8d1830140e905edcd0006
2377,AKDENİZ FAKTORİNG A.Ş.,AKDFA,IGS,
1623,AKDENİZ YATIRIM HOLDİNG A.Ş.,AKYHO,IGS,https://www.kap.org.tr/tr/kfif/4028e4a1415f4d9901416dc64bd161cb
834,AKENERJİ ELEKTRİK ÜRETİM A.Ş.,AKENR,IGS,https://www.kap.org.tr/tr/kfif/4028e4a14184e9cf01419bffce0b5a69
4699,AKFEN GAYRİMENKUL PORTFÖY YÖNETİMİ A.Ş.,AXG,"FK, PYS",
1545,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,AKFGY,IGS,https://www.kap.org.tr/tr/kfif/4028e4a141733b56014183c1c6ed426e
1501,AKFEN HOLDİNG A.Ş.,AKFEN,IGMS,
5792,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,AKFYE,IGS,https://www.kap.org.tr/tr/kfif/8acae2c48304fe9e0186a66e7a9568ea
6036,AKFEN İNŞAAT TURİZM VE TİCARET A.Ş.,AKFNI,IGS,
839,AKIN TEKSTİL A.Ş.,ATEKS,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140f2ed7101412c13ba8303a8
1399,AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,AKMGY,IGS,https://www.kap.org.tr/tr/kfif/4028e4a240e95dc30140ecc218b30032
840,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,AKSA,IGS,https://www.kap.org.tr/tr/kfif/4028e4a240f2ef470141175e189f0453
1505,AKSA ENERJİ ÜRETİM A.Ş.,AKSEN,IGS,https://www.kap.org.tr/tr/kfif/4028e4a241733d42014179341a147ddb
842,AKSU ENERJİ VE TİCARET A.Ş.,AKSUE,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140f2ed7201413a20480e0851
841,AKSİGORTA A.Ş.,AKGRT,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140e95be70140ed12e1f4002c
241,AKSİS ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.,,BDK,
217,AKT BAĞIMSIZ DENETİM A.Ş.,,BDK,
2203,AKTİF BANK SUKUK VARLIK KİRALAMA A.Ş.,AKTVK,IGS,
4358,AKTİF PORTFÖY YÖNETİMİ A.Ş.,MUP,"FK, PYS",
2212,AKTİF YATIRIM BANKASI A.Ş.,"AFB, AKTIF","IGS, YK",
4633,AKÇA KİMYEVİ MADDELER NAKLİYAT TİCARET VE SANAYİ A.Ş.,AKCKM,IGMS,
838,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,AKCNS,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140e8cfa00140e92b0c380016
1698,AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,AKSGY,IGS,https://www.kap.org.tr/tr/kfif/4028e4a14158e41f01415a865c0e4d13
1259,ALAN MENKUL DEĞERLER A.Ş.,ALN,YK,
844,ALARKO CARRIER SANAYİ VE TİCARET A.Ş.,ALCAR,IGS,https://www.kap.org.tr/tr/kfif/4028e4a241558bd9014155e085e305fd
845,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ALGYO,IGS,https://www.kap.org.tr/tr/kfif/4028e4a241462fd801415005df1c3612
846,ALARKO HOLDİNG A.Ş.,ALARK,IGS,https://www.kap.org.tr/tr/kfif/4028e4a241462fd80141500c738e36be
1697,ALB YATIRIM MENKUL DEĞERLER A.Ş.,"ALBMD, ALM",YK,
2562,ALBARAKA PORTFÖY YÖNETİMİ A.Ş.,PGA,"FK, PYS",
2414,ALBARAKA TÜRK KATILIM BANKASI A.Ş.,"ALBRK, ALK","IGS, YK",
2414,ALBARAKA TÜRK KATILIM BANKASI A.Ş.,"ALBRK, ALK","IGS, YK",https://www.kap.org.tr/tr/kfif/4028e4a240f2ef4c014106a1c5ef016d
847,ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.,ALCTL,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140f2ed71014110e38acb01b5
5675,ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.,ALFAS,IGS,https://www.kap.org.tr/tr/kfif/8acae2c5830502c30183559e2336223e
2378,ALJ FİNANSMAN A.Ş.,ALJF,IGS,
849,ALKİM ALKALİ KİMYA A.Ş.,ALKIM,IGS,https://www.kap.org.tr/tr/kfif/4028e4a140e95be70140ed147846003c
850,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,ALKA,IGS,https://www.kap.org.tr/tr/kfif/4028e4a2416e697d01416f39965a5eb5
4880,ALLBATROSS PORTFÖY YÖNETİMİ A.Ş.,ABO,"FK, PYS",
1272,ALLBATROSS YATIRIM MENKUL DEĞERLER A.Ş.,BAH,YK,
1766,ALLIANZ HAYAT VE EMEKLİLİK A.Ş.,,FK,
1844,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,,FK,
1327,ALNUS YATIRIM MENKUL DEĞERLER A.Ş.,"ALNUS, ANC","IGS, YK",
2086,ALTERNATİF FİNANSAL KİRALAMA A.Ş.,ALFIN,IGMS,
1262,ALTERNATİF MENKUL DEĞERLER A.Ş.,AMK,YK,
2430,ALTERNATİFBANK A.Ş.,"ALNTF, ANF",YK,
855,ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,AYCES,IGS,https://www.kap.org.tr/tr/kfif/4028e4a240e95dc90140ed1bc88e0071
5955,ALTINAY SAVUNMA TEKNOLOJİLERİ A.Ş.,ALTNY,IGS,https://www.kap.org.tr/tr/kfif/8acae2c58b2fa64e018f3d2d712476e2
